"","opid","operator","atype","remarks","phase_of_flt","ac_mass","num_engs","date","time_of_day","state","height","speed","effect","sky","species","birds_seen","birds_struck"
"8537","USA","US AIRWAYS","DC-9-30",NA,"Climb",4,2,1995-10-14,"Day","NC",1000,200,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"8538","AAL","AMERICAN AIRLINES","MD-82","NO DAMAGE","Approach",4,2,1996-03-22,"Day","TX",500,130,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8539","BUS","BUSINESS","C-560","L WING DAMAGED ABOUT 1' FROM TIP. DENTED SKIN.","Approach",1,2,1995-09-25,"Night","NJ",10,100,"None","Overcast","MALLARD",NA,"1"
"8540","SWA","SOUTHWEST AIRLINES","B-737-200",NA,"Approach",4,2,1996-07-27,"Day","TX",800,140,NA,"Some Cloud","HAWKS",NA,"1"
"8541","MEP","MIDWEST AIRLINES","DC-9-30","FLT 305. NO DAMAGE.","Landing Roll",4,2,1993-06-25,"Day","WI",0,120,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8542","AAL","AMERICAN AIRLINES","B-727-200","BIRD WAS SMALL LIKE A ROBIN OR SPARROW.","Approach",4,3,1996-07-30,"Day","FL",250,137,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8543","DAL","DELTA AIR LINES","B-727","# OF BIRDS STRUCK NOT REPTD, ASSUME 2-10. FLT1262","Approach",4,3,1996-04-29,"Day","AR",20,140,"None","No Cloud","BLACKBIRDS","11-100","2-Oct"
"8544","GOV","GOVERNMENT","DC-9","PILOT ADZ ATCT THAT HE MAY HAVE HIT SOME BIRDS. NO DAMAGE REPTD.  REMAINS OF 6 STARLINGS WERE REMOVED FROM RWY.","Landing Roll",4,2,1996-09-20,"Day","NY",0,125,"None","No Cloud","EUROPEAN STARLING","2-Oct","2-Oct"
"8545","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE","Landing Roll",4,2,1992-06-17,"Day","CO",0,110,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8546","FDX","FEDEX EXPRESS","DC-10-10","SUSPECT GULLS. NO DAMAGE NOTED BY A/C MAINT. DURING LANDING  FLARE. NO REMAINS NOTED DUE TO HEAVY RAIN.","Landing Roll",4,3,1996-11-07,"Day","IN",0,120,"None","Overcast","GULLS","11-100","2-Oct"
"8547","AAL","AMERICAN AIRLINES","DC-9-83","ATIS WARNING.","Take-off run",4,2,1997-09-19,"Night","CA",0,125,"None","No Cloud","GULLS",NA,"1"
"8548","DAL","DELTA AIR LINES","B-727-200","DAMAGE UNKNOWN AT THIS TIME.  PART STRUCK NOT REPORTED.","Climb",4,3,1995-08-26,"Day","VA",1600,200,NA,"Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"8549","UAL","UNITED AIRLINES","B-727","UNKN IF DAMAGE","Climb",4,3,1992-06-04,"Day","NE",50,150,NA,"Overcast","UNKNOWN BIRD - LARGE",NA,"1"
"8550","AAL","AMERICAN AIRLINES","MD-82","POSSIBLE STRIKE, NO EVIDENCE OF A STRIKE FUND BY MECHANIC.","Approach",4,2,1992-06-08,"Dawn","OH",1500,150,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"8551","UAL","UNITED AIRLINES","B-737-300","PILOT WASN'T SURE HE HIT A BIRD, BUT A LARGE WING FEATHER WAS  FOUND ON RWY","Climb",4,2,1996-05-06,"Day","NY",50,120,"None","Overcast","GULLS","2-Oct","1"
"8552","BLR","ATLANTIC COAST AIRLINES","BA-31 JETSTR","RAIN. CLASS 2 NOTAM IN EFFECT. NO DAMAGE.  FLT 4828","Landing Roll",2,2,1996-05-06,"Day","NY",0,100,"None","Overcast","GULLS","2-Oct","1"
"8553","ABX","ABX AIR (was AIRBORNE EXPRESS)","DC-9-30","HEARD A LOUD BANG, ABORTED T/O. FOUND REMAINS ON #1 ENG INLET.  ENG CLEANED/INSPCTD FOR DAMAGE. NONE FOUND. COMPLIED WITH BIRD  STRIKE INSPN.","Take-off run",4,2,1996-01-10,"Night","TN",0,80,"Aborted Take-off",NA,"UNKNOWN BIRD",NA,"1"
"8554","AAL","AMERICAN AIRLINES","MD-80",NA,"Take-off run",4,2,1995-09-21,"Dawn","TX",0,135,"None","Overcast","UNKNOWN BIRD - SMALL","11-100","2-Oct"
"8555","BUS","BUSINESS","BE-400 BJET","3 FAN BLADES DAMAGED.","Climb",2,2,1996-08-05,"Night","FL",20,120,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8556","NWA","NORTHWEST AIRLINES","A-320","STRUCK BIRD ON ROLL OUT NO DAMAGE.","Landing Roll",4,2,1995-07-08,"Day","NY",0,120,"None","No Cloud","ROCK PIGEON",NA,"1"
"8557","KHA","KITTY HAWK AIR CARGO","DC-9-10",NA,"Take-off run",4,2,1995-08-21,"Dusk","MI",0,100,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8558","AAL","AMERICAN AIRLINES","A-300","ABOUT 3000' INTO T/O ROLL, 2 GULLS APPEARED RIGHT IN FRONT OF US.  1 TRIED TO DUCK UNDER OUR NOSE BUT WE HEARD THE IMPACT.","Take-off run",4,2,1996-07-07,"Day",NA,0,135,"None","No Cloud","GULLS","2-Oct","2-Oct"
"8559","DAL","DELTA AIR LINES","B-727",NA,"Take-off run",4,3,1993-06-12,"Day","AK",0,135,"None","Overcast","GULLS","2-Oct","1"
"8560","DAL","DELTA AIR LINES","B-727-200","NO VIZ DAMAGE.","Approach",4,3,1997-07-06,"Day","UT",1000,140,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8561","JAL","JAPAN AIRLINES","B-747-1/200",NA,"Approach",5,4,1993-03-29,"Day","WA",200,140,"None","Some Cloud","GULLS",NA,"1"
"8562","WWM","WINGS WEST","BA-31 JETSTR","ABOUT 20-30 BIRDS FLEW ACROSS RWY AS A/C APCHD.  6-8 WERE STRUCK.  T/O ABORTED & A/C INSPCTD BY MAINT.  NO DAMAGE.","Take-off run",2,2,1995-11-21,"Day","CA",0,60,"Aborted Take-off","Some Cloud","EUROPEAN STARLING","11-100","2-Oct"
"8563","BUS","BUSINESS","MBB BK117","BIRD STRIKE MAIN ROTOR ON T/O. TIME OUT OF SERVICE 30 MIN","Climb",2,2,1996-04-26,"Day",NA,100,70,"None","Some Cloud","GULLS",NA,"1"
"8564","TWA","TRANS WORLD AIRLINES","DC-9","2 SMALL BIRDS. HIT IN PM","Landing Roll",4,2,1997-05-01,"Day","KY",0,120,NA,"Some Cloud","UNKNOWN BIRD - SMALL","2-Oct","2-Oct"
"8565","LOF","TRANS STATES AIRLINES","ATR-72","ESTIMATE 10 HRS OUT OF SERVICE.  A/C HAD 34 PAX 3 CREW. FLT162.   A/C DIVERTED TO QUINCY, IL.","En Route",3,2,1995-10-22,"Day","IL",16000,285,"Precautionary Landing","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"8566","DAL","DELTA AIR LINES","B-757-200","POSSIBLY HAWK.  ON DEPT. OBSERVED BIRD PRIOR TO STRIKE.  STRUCK TOP OF COWLING ON RT ENG., ENG. VIBRATED BUT CAPT ELECTED NOT TO  SHUT DOWN AND PROCEED TO LAX INSTEAD OF LAS (ORIG DEST.)  CAPT.  WD GRIFFIN ADVISED PRELIM FINDINGS INDICATED 1ST STAGE COMPRESSOR  FAN BENT. PARTIAL BIRD REMAINS FOUND AT EDGE OF RY 19R AT TWY  GOLF.","Climb",4,2,1993-03-08,"Night","CA",650,136,"Precautionary Landing","No Cloud","UNKNOWN BIRD - LARGE",NA,"1"
"8567","NWA","NORTHWEST AIRLINES","A-320","NO APPARENT DAMAGE. FLT 858","Approach",4,2,1993-01-25,"Night","DC",500,140,"None","No Cloud","GULLS","11-100","2-Oct"
"8568","BUS","BUSINESS","DHC8 DASH 8","4 DUCKS","Approach",3,2,1992-04-02,"Night","OR",3400,240,"None","No Cloud","DUCKS","2-Oct","2-Oct"
"8569","BUS","BUSINESS","LEARJET-35","PILOT INSPECTED A/C VISUALLY AND REPTD. NO DAMAGE.","Approach",3,2,1995-08-28,"Dawn","PA",15,120,"None","No Cloud","UNKNOWN BIRD - SMALL","2-Oct","2-Oct"
"8570","USA","US AIRWAYS","B-737-400","BIRD STRIKE ON RADOME ABOUT 15"" FROM CENTER ON RT SIDE. NO EFFECT  ON FLT, ONLY MINOR DAMAGE.","Descent",4,2,1995-09-03,"Day","NC",3000,210,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"8571","SWA","SOUTHWEST AIRLINES","B-737-300","FLT962 HAD A BIRD STRIKE DURING LIFTOFF, VIBRATION WAS  EXPERIENCED.  RETD SFO & LANDED RY 28R. 2 BENT FAN BLADES IN #2  ENG. WERE REPLACED.  TIME = 1049PDT. AT LEAST 1 BIRD WAS  INGESTED.","Climb",4,2,1995-09-04,"Day","CA",200,140,"Precautionary Landing","No Cloud","GULLS",NA,"1"
"8572","USA","US AIRWAYS","B-737-300","POSSIBLY OWL. NOT FOUND ON RWY INSPN.","Landing Roll",4,2,1995-11-07,"Night","LA",0,135,"None","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"8573","AAL","AMERICAN AIRLINES","FK-100","APPEARED TO BE SPARROWS, AT LEAST 4 HIT A/C. TIME= 1025LCL","Take-off run",4,2,1996-09-02,"Day","PA",0,100,"None","No Cloud","SPARROWS","11-100","2-Oct"
"8574","NWA","NORTHWEST AIRLINES","MD-80","NO DAMAGE","Climb",4,2,1995-07-22,"Day","WI",110,110,"None","No Cloud","HAWKS",NA,"1"
"8575","FDX","FEDEX EXPRESS","B-727","FLT 673","Approach",4,3,1992-03-20,"Day","IA",300,140,"None","No Cloud","BLACKBIRDS","2-Oct","2-Oct"
"8576","REC","REGIONAL EXPRESS","C-402","HOLE IN WINDSHLD 12"" X 14"".  ELEVATOR STRUCK, L TRAILING EDGE  6""-8"" TEAR IN ALUMINUM.","Approach",2,2,1992-03-20,"Day","ID",600,130,"None","No Cloud","GULLS",NA,"1"
"8577","WCY","VIKING EXPRESS","LEARJET-25","BIRD LEFT 1"" X 2"" SCUFF ON L WINDSHLD.","En Route",3,2,1995-10-28,"Night","IL",1500,200,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8578","SWA","SOUTHWEST AIRLINES","B-737-500","# OF BIRDS NOT REPTD. DAMAGED FAN BLADES. EXTENT OF DAMAGE NOT  REPTD.","Climb",4,2,1996-06-02,"Day","IL",300,160,NA,"Some Cloud","UNKNOWN BIRD",NA,"1"
"8579","DAL","DELTA AIR LINES","MD-88","HIT ABOVE CO PILOT'S WINDSHLD ON UPPER FUSELAGE NOSE, NO DAMAGE.","Approach",4,2,1997-08-30,"Day","GA",5500,210,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8580","SWA","SOUTHWEST AIRLINES","B-737-500","INGESTED INTO CORE OF #1 ENG, NO DAMAGE NOTED. TIME CHECKED AS  PM, BUT NOT DAY OR NIGHT.","Landing Roll",4,2,1997-05-18,NA,"TX",0,130,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8581","BUS","BUSINESS","MU-300","PILOT ADVSD MINIMUM DAMAGE TO WING. A/C RETD TO  SERVICE.","Climb",2,2,1992-12-09,"Day","MO",650,150,"Precautionary Landing","Overcast","DUCKS","2-Oct","2-Oct"
"8582","ALO","ALLEGHENYAIRLINES","DHC8 DASH 8","NO DAMAGE TO FLT 3583. TIME = 1030 LCL OR 1235 LCL. TIMES WERE  REPTD ON DIFFERENT FORMS.","Climb",3,2,1997-07-16,"Day","CT",175,125,"None","Some Cloud","UNKNOWN BIRD - MEDIUM","2-Oct","1"
"8583","JAL","JAPAN AIRLINES","B-777-200",NA,"Approach",4,2,1996-03-16,"Day","WA",600,150,"None","Some Cloud","UNKNOWN BIRD - LARGE","2-Oct","1"
"8584","DAL","DELTA AIR LINES","MD-88","FLT401","Landing Roll",4,2,1996-04-29,"Day","FL",0,100,"None","Some Cloud","UNKNOWN BIRD",NA,"1"
"8585","BUS","BUSINESS","C-206 STATIO","STRIKE WAS HEARD BY PILOT & CO/P. DID NOT AFFECT FLT. LANDING  NORMAL. LE OF WING DAMAGED. TIME = 2145 LCL","Descent",1,1,1996-09-18,"Night","MO",5000,140,"None","Some Cloud","UNKNOWN BIRD",NA,"1"
"8586","NWA","NORTHWEST AIRLINES","DC-9",NA,"Approach",4,2,1996-09-18,"Day","WI",10,140,"None","No Cloud","BLACKBIRDS","2-Oct","1"
"8587","AAH*","ALOHA AIRLINES","B-737-200","NO DAMAGE.","Landing Roll",4,2,1996-10-01,"Day","HI",0,80,"None","No Cloud","UNKNOWN BIRD - MEDIUM","2-Oct","1"
"8588","AAL","AMERICAN AIRLINES","B-727","FLT 1885 REPTD BIRD STRIKE AT 2109Z. 1ST REPTD FOR NEW RWY. NO  DAMAGE/INJURY.","Approach",4,3,1996-10-01,"Day","TX",50,130,NA,"No Cloud","SPARROWS",NA,"1"
"8589","USA","US AIRWAYS","B-737-200","EXTENT OF DAMAGE UNKN, JUST BENT FAN BLADES.","Climb",4,2,1996-04-25,"Night","PA",1000,200,"Precautionary Landing","No Cloud","UNKNOWN BIRD",NA,"1"
"8590","USA","US AIRWAYS","B-737-400","DENTED RADOME","Approach",4,2,1996-04-25,"Day","FL",200,140,"None","No Cloud","DUCKS",NA,"1"
"8591","BUS","BUSINESS","PA-34 SENECA","HIT A FLOCK OF GULLS, NO DAMAGE/INJURY.","Landing Roll",1,2,1996-06-27,"Day","FL",0,50,NA,"Overcast","GULLS","2-Oct","2-Oct"
"8592","BUS","BUSINESS","BE-200 KING",NA,"Take-off run",2,2,1996-07-12,"Day","NY",0,85,"Aborted Take-off","Some Cloud","UNKNOWN BIRD - SMALL",NA,"2-Oct"
"8593","BTA","EXPRESSJET (CONTINENTAL EXPRS)","BE-1900",NA,"Approach",3,2,1996-12-18,"Day","TX",1000,180,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8594","USA","US AIRWAYS","MD-82","TIME = 1600 LCL.","Approach",4,2,1997-08-11,"Day","NC",50,130,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8595","AAH*","ALOHA AIRLINES","B-737-200","POSSIBLE BIRD INGESTION AS EVIDENCED BY SMELL IN AIR COND. NO  DAMAGE, ALL PARAMETERS NORMAL.","Take-off run",4,2,1997-12-18,"Night","HI",0,150,"None","Some Cloud","UNKNOWN BIRD",NA,"1"
"8596","AWE","AMERICA WEST AIRLINES","B-737-300","FLT 881.  PILOT REPTD NO DAMAGE.  CAPT KROUT. TIME = 2022 PST.","Approach",4,2,1996-03-03,"Night","CA",50,140,"None","Some Cloud","UNKNOWN BIRD",NA,"1"
"8597","USA","US AIRWAYS","B-737-300","DENT IN FUSELAGE BELOW R2 WINDOW","Take-off run",4,2,1996-03-03,"Day","FL",0,135,"None","No Cloud","BROWN PELICAN",NA,"1"
"8598","AMT","ATA AIRLINES (AMERICAN TRANS A","B-727-200","NO A/C DAMAGE. SMALL BLOOD SMEAR BEHIND L-2 COCKPIT WINDOW. 2  DEAD SWALLOWS FOUND ON RWY.","Landing Roll",4,3,1996-02-04,"Day","FL",0,100,"None","Some Cloud","SWALLOWS","11-100","2-Oct"
"8599","USA","US AIRWAYS","B-737-200","NO DAMAGE REPTD TO L-3 WINDSHLD","Approach",4,2,1996-09-08,"Night","MA",100,140,"None","Overcast","GULLS",NA,"1"
"8600","USA","US AIRWAYS","FK-100","ATIS WARNING.","Landing Roll",4,2,1996-09-08,"Day","PA",0,120,"None","Overcast","SWALLOWS",NA,"1"
"8601","DAL","DELTA AIR LINES","MD-88","MAY HAVE BEEN A BAT. HIT CAPT'S SIDE OF LOWER FUSELAGE. MAINT  COULD FIND NO DAMAGE ON FUSELAGE & WAS PREPARING TO CHECK #1 ENG  AS A PRECAUTION BUT CREW DEPTD BEFORE RESULTS OF ENG INSPN WERE  KNOWN.","Approach",4,2,1996-08-14,"Night","KY",40,132,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8602","GAA","BUSINESS EXPRESS","SAAB-340","NO DAMAGE","Landing Roll",3,2,1996-04-30,"Day","ME",0,120,"None","Overcast","GULLS",NA,"1"
"8603","USA","US AIRWAYS","FK-100","DAMAGE TO F/O WINDSHLD WIPER.","Climb",4,2,1996-11-06,"Day","NY",800,170,"None","Overcast","GULLS","2-Oct","1"
"8604","WWM","WINGS WEST","SAAB-340",NA,"Approach",3,2,1996-11-06,"Night","CA",1500,150,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8605","CNE","AIR TORONTO","BA-31 JETSTR","NO DAMAGE TO FLT 1775","Approach",2,2,1992-09-10,"Night","PA",200,130,NA,"Overcast","UNKNOWN BIRD - MEDIUM",NA,"1"
"8606","SJM","SOUTHERN AIR TRANSPORT","B-747-1/200","SAW FLOCK OF B/W BIRDS SIZE OF PIGEONS ON RWY DURING T/O.  BIRDS TOOK OFF & SEVERAL WERE INGESTED IN #4 ENG RESULTING IN RISE IN  EGT & OVERTEMP LIGHT CAME ON.  LOUD BANG FOLLOWED & T/O ABORTED.  SEVERAL TIRES THERMALLED. 3 BLADES BENT. NO DETECTABLE LOSS OF THRUST.","Climb",5,4,1995-10-12,"Dawn",NA,1,105,"Aborted Take-off","Overcast","UNKNOWN BIRD - MEDIUM","11-100","2-Oct"
"8607","USA","US AIRWAYS","B-737-300","NO DAMAGE","Landing Roll",4,2,1996-07-12,"Day","PA",0,130,"None","Some Cloud","CROWS","2-Oct","1"
"8608","COM","COMAIR AIRLINES","CL-RJ100/200",NA,"Climb",3,2,1996-09-28,"Day","KY",2300,215,"Precautionary Landing","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8609","USA","US AIRWAYS","B-737-300","MARKS AND STREAKS ON NOSE","Take-off run",4,2,1995-06-13,"Dusk","PA",0,130,"None","Some Cloud","GULLS",NA,"1"
"8610","NWA","NORTHWEST AIRLINES","DC-10","FLT 37 HAD A BROKEN LANDING LIGHT. ASSUME RBGU AS THEY COMPRISED100% OF GULLS OBSERVED ON ARPT DURING MONTH OF STRIKE.","Approach",4,3,1996-11-13,"Day","DC",100,140,"None","Some Cloud","RING-BILLED GULL",NA,"1"
"8611","SWA","SOUTHWEST AIRLINES","B-737-200","NO DAMAGE/INJURY","Take-off run",4,2,1996-07-27,"Day","FL",0,120,NA,"Some Cloud","DOVES",NA,"1"
"8612","SWA","SOUTHWEST AIRLINES","B-737-300","NO DAMAGE","Landing Roll",4,2,1996-05-28,"Day","TX",0,100,NA,"Overcast","SPARROWS",NA,"1"
"8613","GTI","ATLAS AIR","B-747-1/200","2 LRG BIRD, PROBABLY GULLS WERE ILLUMINATED BY LANDING LIGHTS  DURING CLIMBOUT FROM TPE, AT 8500 MSL OVER OCEAN.  1 STRUCK LOWER  NOSE BELOW RADOME.  OTHER DID NOT STRIKE A/C. FLAPS & GEAR WERE  UP. A/C WAS IN CLOUDS. LT RAIN, 8N MI N OF APU VOR.","Climb",5,4,1996-05-29,"Night",NA,8500,290,"None","Overcast","GULLS","2-Oct","1"
"8614","BUS","BUSINESS","C-172","LRG FLOCK. SMASHED LE L WING","En Route",1,1,1992-12-10,"Day","FL",1500,100,NA,"Some Cloud","UNKNOWN BIRD - LARGE","11-100","11-100"
"8615","UPS","UPS AIRLINES","B-757-200",NA,"Descent",4,2,1996-04-25,"Night","VA",3800,203,"None","Some Cloud","UNKNOWN BIRD - LARGE",NA,"1"
"8616","COA","CONTINENTAL AIRLINES","MD-80 SERIES","NO DAMAGE","Approach",4,2,1995-10-11,"Day","DC",550,140,"None","No Cloud","CHIMNEY SWIFT","2-Oct","1"
"8617","AAL","AMERICAN AIRLINES","DC-10",NA,"Climb",4,3,1995-10-27,"Night","CA",1800,200,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8618","SWA","SOUTHWEST AIRLINES","B-737-200","DAMAGE TO #1 ENG PYLON.","Climb",4,2,1997-03-23,"Night","LA",3000,220,"None","No Cloud","UNKNOWN BIRD - MEDIUM","2-Oct","2-Oct"
"8619","USA","US AIRWAYS","MD-80","SAW 3 HIT 1.","Climb",4,2,1996-07-26,"Day","PA",1400,150,"None","No Cloud","UNKNOWN BIRD - SMALL","2-Oct","1"
"8620","BTA","EXPRESSJET (CONTINENTAL EXPRS)","BE-1900","SAW BIRD JUST SEONCDS BEFORE STRIKE. NO DAMAGE/INJURY","Approach",3,2,1996-07-27,"Day","MI",5,90,NA,"Some Cloud","EUROPEAN STARLING",NA,"1"
"8621","SDU","WESTAIR COMMUTER","EMB-120",NA,"Climb",3,2,1995-10-20,"Night","CA",200,140,"None","No Cloud","UNKNOWN BIRD - SMALL","2-Oct","2-Oct"
"8622","USA","US AIRWAYS","B-737-400","HIT CROW ON LANDING ROLL. NO DAMAGE.","Landing Roll",4,2,1995-08-25,"Day","NY",0,110,"None","No Cloud","AMERICAN CROW",NA,"1"
"8623","AAL","AMERICAN AIRLINES","MD-82","NEVER HEARD THE STRIKE, BUT SUSPECTED ONE. INSPN AT LDG SHOWED NO  SIGNS OF DAMAGE OR BIRD MATERIAL.","Take-off run",4,2,1997-05-29,"Dusk","TX",0,165,"None","Overcast","UNKNOWN BIRD - MEDIUM",NA,"1"
"8624","UPS","UPS AIRLINES","B-727",NA,"Descent",4,3,1993-05-11,"Day","KY",2300,220,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8625","AAL","AMERICAN AIRLINES","FK-100",NA,"Approach",4,2,1993-05-11,"Night","IL",50,135,"None","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"8626","SWA","SOUTHWEST AIRLINES","B-737-200","NO DAMAGE/INJURY","Approach",4,2,1996-11-02,"Night","MD",2200,170,NA,"No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"8627","BUS","BUSINESS","C-172","BIRD REPTD AS DOVE, ASSUME MOURNING DOVE FROM LOCATION.","Climb",1,1,1995-09-01,"Day","AL",300,90,"None","Some Cloud","MOURNING DOVE",NA,"1"
"8628","SWA","SOUTHWEST AIRLINES","B-737-300","BIRD PUT HOLE IN #2 LE FLAP L SIDE.","Climb",4,2,1992-10-31,"Day","CA",1000,200,NA,"Overcast","UNKNOWN BIRD",NA,"1"
"8629","USA","US AIRWAYS","FK-100","PERMANENT NOTAM FOR BIRD ACTIVITY.","Take-off run",4,2,1996-02-14,"Dawn","TN",0,110,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8630","FDX","FEDEX EXPRESS","B-727","HEARD STRIKES","Approach",4,3,1996-02-15,"Day","WI",150,136,"None","No Cloud","DUCKS",NA,"2-Oct"
"8631","SWA","SOUTHWEST AIRLINES","B-737-200","POSSIBLE DOVE. UNKN IF DAMAGE","Take-off run",4,2,1993-05-31,"Day","AZ",0,130,NA,NA,"DOVES",NA,"1"
"8632","AAL","AMERICAN AIRLINES","MD-80","TIME= 1900 LCL. NO DAMAGE.","Climb",4,2,1996-11-04,"Night","NY",3500,250,NA,"No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"8633","BUS","BUSINESS","BE-300 KING","BIRD STRUCK L OUTBOARD INLET MUZZLE. NO ENG INGESTION. NO DAMAGE  REPTD. 1 BIRD FOUND ON RWY. MIST. TIME = 1015 LCL.","Approach",1,2,1996-11-04,"Day","CA",10,120,"None","Some Cloud","EUROPEAN STARLING","2-Oct","1"
"8634","PVT","PRIVATELY OWNED","C-172",NA,"Approach",1,1,1992-05-10,"Day","CA",50,100,"None","No Cloud","BLACKBIRDS","2-Oct","2-Oct"
"8635","GOV","GOVERNMENT","PA-28","WINDY, EVASIVE ACTION TAKEN.","Climb",1,1,1992-01-28,"Day","FL",100,65,"None","Some Cloud","GULLS",NA,"1"
"8636","NWA","NORTHWEST AIRLINES","DC-10-40","FLT 50 INGESTED SEVERAL BIRDS IN ENG. DAMAGE UNKN.","Take-off run",4,3,1992-01-29,"Day","CA",0,120,"Aborted Take-off","No Cloud","ROCK PIGEON","2-Oct","2-Oct"
"8637","PHM","PETROLEUM HELICOPTERS","SIKORSKY S-76","FREEPORT MCMORAN HELIPORT.","Climb",2,1,1996-04-29,"Day",NA,20,20,"Precautionary Landing","Some Cloud","GULLS","2-Oct","1"
"8638","SWA","SOUTHWEST AIRLINES","B-737-300","DENT IN RADOME, CAPT'S SIDE. HIT A FLOCK OF GEESE, EXACT # NOT  REPTD, ASSUME 2-10.","Climb",4,2,1997-03-02,"Day","MD",4500,230,NA,"Overcast","GEESE","2-Oct","2-Oct"
"8639","SWA","SOUTHWEST AIRLINES","B-737-200","BIRD STRIKE NEAR OR ON WINDSHLD, CAPT'S SIDE. NO DAMAGE. ATIS  WARNING.","Climb",4,2,1997-03-02,"Day","TN",500,150,NA,"Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"8640","USA","US AIRWAYS","B-737-300","HIT WIPER BLADE. NO DAMAGE. TIME = 1602 LCL.","Landing Roll",4,2,1997-08-12,"Day","PA",0,120,"None","Some Cloud","UNKNOWN BIRD - SMALL","2-Oct","1"
"8641","AAL","AMERICAN AIRLINES","B-727-200","NO DAMAGE.","Approach",4,3,1996-08-31,"Day","FL",30,142,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8642","AAL","AMERICAN AIRLINES","MD-82","SMALL, YELLOW BREASTED BIRD, FREQUENTLY SEEN IN RURAL EAST TEXAS  FLYING FROM L TO R DURING T/O ROLL. BIRD HIT L SIDE OF RADOME,  BELOW CAPT'S WINDSHLD. INCIDENT LOGGED. NO DAMAGE NOTED.","Take-off run",4,2,1996-08-31,"Day","LA",0,100,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8643","AAL","AMERICAN AIRLINES","MD-82",NA,"Approach",4,2,1996-11-28,"Night",NA,100,130,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"8644","ASH","MESA AIRLINES","BE-1900","BIRD REPTD AS DOVE, ASSUME MOURNING DOVE FROM LOCATION. NOSE GEAR DOOR WAS STRUCK. NO DAMAGE APPARENT TO A/C CREW. BIRD  WAS STRUCK AS A/C TOUCHED DOWN. FLT 5514.","Landing Roll",3,2,1996-07-09,"Day","AL",0,90,"None","Some Cloud","MOURNING DOVE",NA,"1"
"8645","AWI","AIR WISCONSIN AIRLINES","BA-146","TIME = 1015 LCL. FLT # 602.  RAIN.","Climb",4,4,1997-11-09,"Day","WV",100,140,"None","Overcast","GULLS","2-Oct","2-Oct"
"8646","BUS","BUSINESS","C-172","LE WING DENTED, RIPPLED.","Approach",1,1,1996-03-24,"Dusk","CA",600,65,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"8647","BUS","BUSINESS","BE-2000","BIRD STRUCK NOSE AREA 2' IN FRONT OF WINDSHLD & STRUCK WINDSHLD  WIPER & THEN HIT RT ENG NACELLE AREA & PROP.","En Route",2,2,1997-11-05,"Night","NY",3500,240,"None","No Cloud","UNKNOWN BIRD",NA,"1"
"8648","SWA","SOUTHWEST AIRLINES","B-737-300","BIRD INGESTED IN #2 ENG DURING LDG ROLL WHILE IN REVERSE THRUST.  IMMEDIATE VIBRATION LASTING UNTIL RETURN TO IDLE THRUST.  SIGNIFICANT DAMAGE TO FAN BLADES (AT LEAST 9). PIGEON OR GULL?","Landing Roll",4,2,1997-11-05,"Night","NV",0,115,NA,"No Cloud","UNKNOWN BIRD - MEDIUM","2-Oct","1"
"8649","USA","US AIRWAYS","B-737-300","A/C PROGRAMMED FOR ENG BORESCOPE INSPN.","Climb",4,2,1997-08-24,"Day","MD",30,160,"None","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
