"","X","Facility.HHS.Code","Facility.HHS.Desc","Last.Month.in.QTR","Triage.Category","Number.of.Attendances","Variation.in.the.number.of.attendances....","Patients.Seen.within.clinically.recommended.times....","Median.Waiting.time.to.treatment..minutes.","Patients.who.did.not.wait.for.treatment....","Patients.admitted.from.the.Emergency.Department....","Admissions.to.hospital.within.4.hours...."
"8541",357,135,"Emerald Hospital","Jun-23","4",2096,31,62,37,8,6,62
"8542",358,135,"Emerald Hospital","Jun-23","5",553,5,76,29,16,3,78
"8543",359,135,"Emerald Hospital","Jun-23","ALL",4351,14,66,24,6,17,72
"8544",360,136,"Gladstone Hospital","Jun-23","1",48,23,100,0,NA,65,23
"8545",361,136,"Gladstone Hospital","Jun-23","2",1069,-3,79,5,0,45,44
"8546",362,136,"Gladstone Hospital","Jun-23","3",3206,-9,78,14,2,24,26
"8547",363,136,"Gladstone Hospital","Jun-23","4",4325,5,89,17,5,7,31
"8548",364,136,"Gladstone Hospital","Jun-23","5",535,-5,93,21,10,3,56
"8549",365,136,"Gladstone Hospital","Jun-23","ALL",9183,-2,84,14,4,17,32
"8550",366,139,"Mount Morgan Hospital","Jun-23","1",6,500,100,0,NA,17,NA
"8551",367,139,"Mount Morgan Hospital","Jun-23","2",102,29,85,0,NA,18,39
"8552",368,139,"Mount Morgan Hospital","Jun-23","3",382,26,82,5,1,9,42
"8553",369,139,"Mount Morgan Hospital","Jun-23","4",310,-5,94,0,3,2,43
"8554",370,139,"Mount Morgan Hospital","Jun-23","5",70,-56,97,5,1,NA,NA
"8555",371,139,"Mount Morgan Hospital","Jun-23","ALL",870,0,88,0,1,7,41
"8556",372,140,"Moura Hospital","Jun-23","1",1,0,100,1,NA,NA,NA
"8557",373,140,"Moura Hospital","Jun-23","2",32,0,100,0,NA,47,100
"8558",374,140,"Moura Hospital","Jun-23","3",80,10,97,0,3,31,100
"8559",375,140,"Moura Hospital","Jun-23","4",191,45,100,0,1,5,100
"8560",376,140,"Moura Hospital","Jun-23","5",219,-22,100,0,NA,1,100
"8561",377,140,"Moura Hospital","Jun-23","ALL",523,1,99,0,1,10,100
"8562",378,141,"Rockhampton Hospital","Jun-23","1",86,37,100,0,NA,71,21
"8563",379,141,"Rockhampton Hospital","Jun-23","2",2186,7,69,6,1,46,20
"8564",380,141,"Rockhampton Hospital","Jun-23","3",6351,4,45,38,5,27,19
"8565",381,141,"Rockhampton Hospital","Jun-23","4",4267,-5,56,49,9,10,20
"8566",382,141,"Rockhampton Hospital","Jun-23","5",437,-18,80,32,14,5,41
"8567",383,141,"Rockhampton Hospital","Jun-23","ALL",13327,1,54,29,6,24,20
"8568",384,142,"Springsure Hospital","Jun-23","1",0,NA,NA,0,NA,NA,NA
"8569",385,142,"Springsure Hospital","Jun-23","2",27,29,93,0,NA,11,100
"8570",386,142,"Springsure Hospital","Jun-23","3",99,-3,99,0,1,8,75
"8571",387,142,"Springsure Hospital","Jun-23","4",151,39,100,0,1,3,100
"8572",388,142,"Springsure Hospital","Jun-23","5",89,-50,100,0,1,NA,NA
"8573",389,142,"Springsure Hospital","Jun-23","ALL",366,-11,99,0,1,4,87
"8574",390,144,"Capricorn Coast Hospital","Jun-23","1",11,83,100,0,NA,18,50
"8575",391,144,"Capricorn Coast Hospital","Jun-23","2",387,-16,88,1,NA,19,45
"8576",392,144,"Capricorn Coast Hospital","Jun-23","3",1705,8,61,20,3,9,32
"8577",393,144,"Capricorn Coast Hospital","Jun-23","4",2139,9,78,18,7,2,21
"8578",394,144,"Capricorn Coast Hospital","Jun-23","5",269,-14,91,12,9,1,67
"8579",395,144,"Capricorn Coast Hospital","Jun-23","ALL",4511,4,73,16,5,6,34
"8580",396,145,"Woorabinda Hospital","Jun-23","1",0,-100,NA,0,NA,NA,NA
"8581",397,145,"Woorabinda Hospital","Jun-23","2",59,228,95,0,NA,3,100
"8582",398,145,"Woorabinda Hospital","Jun-23","3",276,45,97,0,3,5,100
"8583",399,145,"Woorabinda Hospital","Jun-23","4",164,43,97,0,5,1,100
"8584",400,145,"Woorabinda Hospital","Jun-23","5",449,46,99,0,2,0,100
"8585",401,145,"Woorabinda Hospital","Jun-23","ALL",948,50,98,0,3,2,100
"8586",402,152,"Barcaldine Hospital","Jun-23","1",4,100,100,0,NA,75,100
"8587",403,152,"Barcaldine Hospital","Jun-23","2",28,-49,100,0,4,46,77
"8588",404,152,"Barcaldine Hospital","Jun-23","3",95,-10,98,0,1,41,90
"8589",405,152,"Barcaldine Hospital","Jun-23","4",212,13,100,0,0,9,90
"8590",406,152,"Barcaldine Hospital","Jun-23","5",127,18,100,0,2,4,100
"8591",407,152,"Barcaldine Hospital","Jun-23","ALL",466,2,99,0,1,17,89
"8592",408,153,"Blackall Hospital","Jun-23","1",1,0,100,0,NA,NA,NA
"8593",409,153,"Blackall Hospital","Jun-23","2",29,21,100,0,NA,62,94
"8594",410,153,"Blackall Hospital","Jun-23","3",87,-22,100,0,NA,47,98
"8595",411,153,"Blackall Hospital","Jun-23","4",151,15,100,0,NA,23,97
"8596",412,153,"Blackall Hospital","Jun-23","5",140,20,100,0,1,9,100
"8597",413,153,"Blackall Hospital","Jun-23","ALL",408,6,100,0,0,26,97
"8598",414,156,"Longreach Hospital","Jun-23","1",2,0,100,0,NA,50,NA
"8599",415,156,"Longreach Hospital","Jun-23","2",101,-11,90,0,NA,48,81
"8600",416,156,"Longreach Hospital","Jun-23","3",335,30,93,3,1,24,72
"8601",417,156,"Longreach Hospital","Jun-23","4",504,18,96,9,4,4,65
"8602",418,156,"Longreach Hospital","Jun-23","5",483,-9,99,8,4,1,50
"8603",419,156,"Longreach Hospital","Jun-23","ALL",1425,7,95,5,3,11,73
"8604",420,159,"Winton Hospital","Jun-23","1",0,-100,NA,0,NA,NA,NA
"8605",421,159,"Winton Hospital","Jun-23","2",27,23,100,0,NA,59,75
"8606",422,159,"Winton Hospital","Jun-23","3",76,23,96,0,NA,34,92
"8607",423,159,"Winton Hospital","Jun-23","4",140,-16,98,5,NA,8,91
"8608",424,159,"Winton Hospital","Jun-23","5",43,-53,100,0,NA,2,100
"8609",425,159,"Winton Hospital","Jun-23","ALL",286,-17,98,0,NA,19,87
"8610",426,171,"Clermont Hospital","Jun-23","1",2,NA,100,0,NA,NA,NA
"8611",427,171,"Clermont Hospital","Jun-23","2",79,88,91,0,NA,52,80
"8612",428,171,"Clermont Hospital","Jun-23","3",255,81,96,0,1,25,89
"8613",429,171,"Clermont Hospital","Jun-23","4",390,-1,94,0,1,9,89
"8614",430,171,"Clermont Hospital","Jun-23","5",275,-51,96,1,1,1,100
"8615",431,171,"Clermont Hospital","Jun-23","ALL",1001,-12,95,0,1,15,87
"8616",432,172,"Mackay Base Hospital","Jun-23","1",98,81,100,1,NA,84,39
"8617",433,172,"Mackay Base Hospital","Jun-23","2",3482,22,97,8,0,54,22
"8618",434,172,"Mackay Base Hospital","Jun-23","3",6225,-1,87,16,1,35,24
"8619",435,172,"Mackay Base Hospital","Jun-23","4",3307,-7,92,24,3,10,33
"8620",436,172,"Mackay Base Hospital","Jun-23","5",427,-10,98,26,6,3,43
"8621",437,172,"Mackay Base Hospital","Jun-23","ALL",13539,2,91,11,2,33,24
"8622",438,173,"Moranbah Hospital","Jun-23","1",5,0,100,0,NA,20,100
"8623",439,173,"Moranbah Hospital","Jun-23","2",176,16,96,0,NA,20,81
"8624",440,173,"Moranbah Hospital","Jun-23","3",529,49,95,1,1,11,88
"8625",441,173,"Moranbah Hospital","Jun-23","4",525,17,97,6,1,2,92
"8626",442,173,"Moranbah Hospital","Jun-23","5",440,-18,99,10,4,1,83
"8627",443,173,"Moranbah Hospital","Jun-23","ALL",1675,12,96,4,2,7,86
"8628",444,174,"Proserpine Hospital","Jun-23","1",16,-20,100,0,NA,38,33
"8629",445,174,"Proserpine Hospital","Jun-23","2",402,-12,85,4,1,34,41
"8630",446,174,"Proserpine Hospital","Jun-23","3",1266,-6,85,12,1,19,40
"8631",447,174,"Proserpine Hospital","Jun-23","4",2218,28,84,18,3,6,36
"8632",448,174,"Proserpine Hospital","Jun-23","5",866,-2,95,21,6,1,50
"8633",449,174,"Proserpine Hospital","Jun-23","ALL",4768,7,86,14,3,11,39
"8634",450,175,"Sarina Hospital","Jun-23","1",2,0,100,0,NA,NA,NA
"8635",451,175,"Sarina Hospital","Jun-23","2",103,-13,87,0,NA,25,88
"8636",452,175,"Sarina Hospital","Jun-23","3",353,4,91,4,1,9,91
"8637",453,175,"Sarina Hospital","Jun-23","4",570,-12,97,5,1,3,88
"8638",454,175,"Sarina Hospital","Jun-23","5",298,-28,98,5,1,2,67
"8639",455,175,"Sarina Hospital","Jun-23","ALL",1326,-13,95,5,1,6,88
"8640",456,176,"Dysart Hospital","Jun-23","1",2,100,100,0,NA,50,100
"8641",457,176,"Dysart Hospital","Jun-23","2",64,25,89,0,NA,36,100
"8642",458,176,"Dysart Hospital","Jun-23","3",240,14,95,1,2,25,92
"8643",459,176,"Dysart Hospital","Jun-23","4",256,4,96,2,0,8,90
"8644",460,176,"Dysart Hospital","Jun-23","5",132,-15,100,5,1,2,100
"8645",461,176,"Dysart Hospital","Jun-23","ALL",694,5,96,2,1,15,93
"8646",462,191,"Ayr Hospital","Jun-23","1",5,-72,100,0,NA,40,NA
"8647",463,191,"Ayr Hospital","Jun-23","2",215,-14,100,0,NA,44,76
"8648",464,191,"Ayr Hospital","Jun-23","3",867,-9,95,0,1,27,69
"8649",465,191,"Ayr Hospital","Jun-23","4",1675,5,97,0,1,6,66
"8650",466,191,"Ayr Hospital","Jun-23","5",401,17,99,1,4,1,100
"8651",467,191,"Ayr Hospital","Jun-23","ALL",3163,0,97,0,1,14,70
"8652",468,192,"Bowen Hospital","Jun-23","1",14,8,100,0,NA,36,NA
"8653",469,192,"Bowen Hospital","Jun-23","2",243,8,90,0,0,32,32
"8654",470,192,"Bowen Hospital","Jun-23","3",935,0,93,0,1,17,27
"8655",471,192,"Bowen Hospital","Jun-23","4",1692,7,94,1,3,3,42
"8656",472,192,"Bowen Hospital","Jun-23","5",570,41,97,0,3,0,NA
"8657",473,192,"Bowen Hospital","Jun-23","ALL",3454,10,94,0,2,9,31
"8658",474,193,"Charters Towers Hospital","Jun-23","1",8,-20,100,0,NA,13,100
"8659",475,193,"Charters Towers Hospital","Jun-23","2",177,7,97,2,1,48,96
"8660",476,193,"Charters Towers Hospital","Jun-23","3",553,9,92,7,1,29,95
"8661",477,193,"Charters Towers Hospital","Jun-23","4",1271,29,95,9,3,7,91
"8662",478,193,"Charters Towers Hospital","Jun-23","5",605,31,100,10,4,1,100
"8663",479,193,"Charters Towers Hospital","Jun-23","ALL",2614,23,95,8,3,13,94
"8664",480,196,"Ingham Hospital","Jun-23","1",13,-13,100,0,NA,15,NA
"8665",481,196,"Ingham Hospital","Jun-23","2",191,-11,100,0,1,54,74
"8666",482,196,"Ingham Hospital","Jun-23","3",770,3,90,3,1,35,72
"8667",483,196,"Ingham Hospital","Jun-23","4",995,31,90,5,2,17,72
"8668",484,196,"Ingham Hospital","Jun-23","5",548,48,96,5,6,11,83
"8669",485,196,"Ingham Hospital","Jun-23","ALL",2517,19,92,3,3,24,73
"8670",486,197,"Joyce Palmer Health Service","Jun-23","1",3,0,100,0,NA,67,100
"8671",487,197,"Joyce Palmer Health Service","Jun-23","2",77,-31,99,0,4,45,77
"8672",488,197,"Joyce Palmer Health Service","Jun-23","3",510,3,99,1,5,26,90
"8673",489,197,"Joyce Palmer Health Service","Jun-23","4",624,11,100,2,6,8,94
"8674",490,197,"Joyce Palmer Health Service","Jun-23","5",334,-22,100,2,8,2,100
"8675",491,197,"Joyce Palmer Health Service","Jun-23","ALL",1548,-3,100,1,6,15,89
"8676",492,200,"Townsville University Hospital","Jun-23","1",169,-25,100,0,NA,83,63
"8677",493,200,"Townsville University Hospital","Jun-23","2",3624,15,78,4,0,45,32
"8678",494,200,"Townsville University Hospital","Jun-23","3",13986,16,73,16,3,29,25
"8679",495,200,"Townsville University Hospital","Jun-23","4",7234,-13,78,25,6,14,31
"8680",496,200,"Townsville University Hospital","Jun-23","5",516,-12,92,31,8,5,32
"8681",497,200,"Townsville University Hospital","Jun-23","ALL",25529,5,76,15,4,27,28
"8682",498,201,"Royal Brisbane & Women's Hospital","Jun-23","1",215,44,100,0,NA,85,56
"8683",499,201,"Royal Brisbane & Women's Hospital","Jun-23","2",3776,0,63,9,1,56,31
"8684",500,201,"Royal Brisbane & Women's Hospital","Jun-23","3",7837,-5,46,34,3,43,29
"8685",501,201,"Royal Brisbane & Women's Hospital","Jun-23","4",7778,-2,68,38,6,25,22
"8686",502,201,"Royal Brisbane & Women's Hospital","Jun-23","5",2003,9,89,35,9,9,28
"8687",503,201,"Royal Brisbane & Women's Hospital","Jun-23","ALL",21609,-2,61,29,4,36,28
"8688",504,202,"Queensland Children's Hospital","Jun-23","1",101,0,100,1,NA,86,52
"8689",505,202,"Queensland Children's Hospital","Jun-23","2",2728,-10,86,7,0,59,48
"8690",506,202,"Queensland Children's Hospital","Jun-23","3",6960,-12,70,16,2,30,28
"8691",507,202,"Queensland Children's Hospital","Jun-23","4",9066,-7,79,22,6,12,27
"8692",508,202,"Queensland Children's Hospital","Jun-23","5",1655,10,91,30,7,5,44
"8693",509,202,"Queensland Children's Hospital","Jun-23","ALL",20510,-8,78,15,4,24,35
"8694",510,211,"Atherton Hospital","Jun-23","1",43,23,100,0,NA,44,58
"8695",511,211,"Atherton Hospital","Jun-23","2",499,11,53,10,0,45,48
"8696",512,211,"Atherton Hospital","Jun-23","3",1488,-6,50,30,2,27,40
"8697",513,211,"Atherton Hospital","Jun-23","4",2096,-3,57,49,8,7,45
"8698",514,211,"Atherton Hospital","Jun-23","5",861,11,88,22,7,2,80
"8699",515,211,"Atherton Hospital","Jun-23","ALL",4987,0,59,31,5,16,45
"8700",516,212,"Babinda Hospital","Jun-23","1",3,-40,100,0,NA,NA,NA
"8701",517,212,"Babinda Hospital","Jun-23","2",70,75,100,0,NA,31,86
"8702",518,212,"Babinda Hospital","Jun-23","3",180,30,100,0,NA,17,87
"8703",519,212,"Babinda Hospital","Jun-23","4",305,-3,100,0,4,9,92
"8704",520,212,"Babinda Hospital","Jun-23","5",278,-1,100,0,9,7,80
"8705",521,212,"Babinda Hospital","Jun-23","ALL",836,7,100,0,4,12,87
"8706",522,213,"Bamaga Hospital","Jun-23","1",3,-50,100,0,NA,67,100
"8707",523,213,"Bamaga Hospital","Jun-23","2",76,-4,88,2,NA,50,95
"8708",524,213,"Bamaga Hospital","Jun-23","3",232,-9,89,10,0,26,97
"8709",525,213,"Bamaga Hospital","Jun-23","4",652,4,93,16,2,5,94
"8710",526,213,"Bamaga Hospital","Jun-23","5",412,-17,98,14,3,2,100
"8711",527,213,"Bamaga Hospital","Jun-23","ALL",1375,-6,93,13,2,10,96
"8712",528,214,"Cairns Hospital","Jun-23","1",313,13,100,0,NA,90,43
"8713",529,214,"Cairns Hospital","Jun-23","2",4351,8,72,7,0,54,30
"8714",530,214,"Cairns Hospital","Jun-23","3",10272,1,68,19,3,37,25
"8715",531,214,"Cairns Hospital","Jun-23","4",7181,0,77,27,6,15,34
"8716",532,214,"Cairns Hospital","Jun-23","5",967,-6,92,28,9,4,40
"8717",533,214,"Cairns Hospital","Jun-23","ALL",23084,2,73,16,3,33,29
"8718",534,216,"Cooktown Hospital","Jun-23","1",7,-13,100,0,NA,43,67
"8719",535,216,"Cooktown Hospital","Jun-23","2",146,-3,91,1,NA,66,94
"8720",536,216,"Cooktown Hospital","Jun-23","3",424,11,86,9,2,42,89
"8721",537,216,"Cooktown Hospital","Jun-23","4",867,0,87,20,5,10,95
"8722",538,216,"Cooktown Hospital","Jun-23","5",525,-2,95,20,6,2,92
"8723",539,216,"Cooktown Hospital","Jun-23","ALL",1969,1,89,14,4,19,92
"8724",540,222,"Innisfail Hospital","Jun-23","1",27,80,100,0,NA,30,63
"8725",541,222,"Innisfail Hospital","Jun-23","2",419,24,70,5,0,44,66
"8726",542,222,"Innisfail Hospital","Jun-23","3",1205,-7,59,23,2,28,53
"8727",543,222,"Innisfail Hospital","Jun-23","4",1924,1,63,39,5,7,52
"8728",544,222,"Innisfail Hospital","Jun-23","5",1120,14,83,32,8,8,72
"8729",545,222,"Innisfail Hospital","Jun-23","ALL",4695,4,67,26,4,16,59
"8730",546,223,"Mareeba Hospital","Jun-23","1",86,46,100,0,NA,31,44
"8731",547,223,"Mareeba Hospital","Jun-23","2",543,1,74,7,NA,38,53
"8732",548,223,"Mareeba Hospital","Jun-23","3",1455,-9,73,18,1,20,54
"8733",549,223,"Mareeba Hospital","Jun-23","4",2169,7,73,31,4,5,57
"8734",550,223,"Mareeba Hospital","Jun-23","5",1577,-9,91,28,5,1,76
"8735",551,223,"Mareeba Hospital","Jun-23","ALL",5830,-2,78,21,3,11,54
"8736",552,224,"Mossman Hospital","Jun-23","1",20,-5,100,0,NA,25,40
"8737",553,224,"Mossman Hospital","Jun-23","2",373,19,63,9,1,45,26
"8738",554,224,"Mossman Hospital","Jun-23","3",909,-14,63,24,2,26,29
"8739",555,224,"Mossman Hospital","Jun-23","4",1419,0,68,38,5,8,42
"8740",556,224,"Mossman Hospital","Jun-23","5",1133,2,85,36,6,4,74
"8741",557,224,"Mossman Hospital","Jun-23","ALL",3854,-2,69,28,4,15,34
"8742",558,226,"Thursday Island Hospital","Jun-23","1",4,33,100,0,NA,50,100
"8743",559,226,"Thursday Island Hospital","Jun-23","2",121,19,95,0,NA,44,72
"8744",560,226,"Thursday Island Hospital","Jun-23","3",262,-2,98,5,1,30,77
"8745",561,226,"Thursday Island Hospital","Jun-23","4",543,18,98,6,3,6,67
"8746",562,226,"Thursday Island Hospital","Jun-23","5",450,5,99,5,4,2,86
"8747",563,226,"Thursday Island Hospital","Jun-23","ALL",1380,9,98,5,2,13,74
"8748",564,227,"Tully Hospital","Jun-23","1",14,-30,100,0,NA,29,50
"8749",565,227,"Tully Hospital","Jun-23","2",184,-12,93,0,NA,23,47
"8750",566,227,"Tully Hospital","Jun-23","3",621,-8,86,0,1,12,52
"8751",567,227,"Tully Hospital","Jun-23","4",1300,10,83,11,4,2,65
"8752",568,227,"Tully Hospital","Jun-23","5",432,25,94,15,6,1,67
"8753",569,227,"Tully Hospital","Jun-23","ALL",2551,5,86,4,4,6,53
"8754",570,228,"Weipa Hospital","Jun-23","1",8,-20,100,0,NA,88,86
"8755",571,228,"Weipa Hospital","Jun-23","2",125,-13,84,3,1,56,79
"8756",572,228,"Weipa Hospital","Jun-23","3",407,9,79,12,1,27,65
"8757",573,228,"Weipa Hospital","Jun-23","4",915,1,77,29,5,6,75
"8758",574,228,"Weipa Hospital","Jun-23","5",480,-23,95,27,7,3,69
"8759",575,228,"Weipa Hospital","Jun-23","ALL",1935,-6,82,20,4,13,72
"8760",576,243,"Cloncurry Hospital","Jun-23","1",0,-100,NA,0,NA,NA,NA
"8761",577,243,"Cloncurry Hospital","Jun-23","2",116,43,90,4,1,36,93
"8762",578,243,"Cloncurry Hospital","Jun-23","3",299,35,85,9,3,23,83
"8763",579,243,"Cloncurry Hospital","Jun-23","4",544,28,85,21,5,5,88
"8764",580,243,"Cloncurry Hospital","Jun-23","5",532,42,90,26,8,3,79
"8765",581,243,"Cloncurry Hospital","Jun-23","ALL",1491,35,87,15,5,10,86
"8766",582,245,"Julia Creek Hospital","Jun-23","1",0,NA,NA,0,NA,NA,NA
"8767",583,245,"Julia Creek Hospital","Jun-23","2",25,92,96,0,NA,4,100
"8768",584,245,"Julia Creek Hospital","Jun-23","3",53,13,94,0,NA,8,50
"8769",585,245,"Julia Creek Hospital","Jun-23","4",115,24,97,1,1,3,67
"8770",586,245,"Julia Creek Hospital","Jun-23","5",263,38,100,1,1,NA,NA
"8771",587,245,"Julia Creek Hospital","Jun-23","ALL",456,33,98,1,1,2,63
"8772",588,246,"Mount Isa Base Hospital","Jun-23","1",14,-26,100,0,NA,64,22
"8773",589,246,"Mount Isa Base Hospital","Jun-23","2",875,23,85,5,0,51,45
"8774",590,246,"Mount Isa Base Hospital","Jun-23","3",2882,25,77,14,3,23,37
"8775",591,246,"Mount Isa Base Hospital","Jun-23","4",3609,-2,81,22,6,8,44
"8776",592,246,"Mount Isa Base Hospital","Jun-23","5",1060,5,98,21,8,1,85
"8777",593,246,"Mount Isa Base Hospital","Jun-23","ALL",8440,9,82,15,5,17,41
"8778",594,247,"Normanton Hospital","Jun-23","1",3,50,100,0,NA,33,100
"8779",595,247,"Normanton Hospital","Jun-23","2",49,17,100,0,NA,71,91
"8780",596,247,"Normanton Hospital","Jun-23","3",239,-9,97,0,0,33,88
"8781",597,247,"Normanton Hospital","Jun-23","4",373,20,98,0,2,10,92
"8782",598,247,"Normanton Hospital","Jun-23","5",114,-50,100,1,3,3,67
"8783",599,247,"Normanton Hospital","Jun-23","ALL",778,-8,98,0,1,20,90
"8784",600,249,"Mornington Island Hospital","Jun-23","1",4,NA,100,0,NA,NA,NA
"8785",601,249,"Mornington Island Hospital","Jun-23","2",78,86,97,0,1,28,73
"8786",602,249,"Mornington Island Hospital","Jun-23","3",282,17,93,3,2,8,68
"8787",603,249,"Mornington Island Hospital","Jun-23","4",617,19,99,4,3,2,69
"8788",604,249,"Mornington Island Hospital","Jun-23","5",109,-58,98,4,3,2,50
"8789",605,249,"Mornington Island Hospital","Jun-23","ALL",1090,3,97,4,3,5,69
"8790",606,252,"Doomadgee Hospital","Jun-23","1",2,100,100,0,NA,NA,NA
"8791",607,252,"Doomadgee Hospital","Jun-23","2",68,74,95,1,3,16,45
"8792",608,252,"Doomadgee Hospital","Jun-23","3",293,-22,87,11,6,12,54
"8793",609,252,"Doomadgee Hospital","Jun-23","4",733,4,90,17,9,4,69
"8794",610,252,"Doomadgee Hospital","Jun-23","5",834,-1,97,20,11,0,100
"8795",611,252,"Doomadgee Hospital","Jun-23","ALL",1930,-2,92,15,9,4,61
"8796",612,934,"Robina Hospital","Jun-23","1",73,-23,100,1,NA,63,35
"8797",613,934,"Robina Hospital","Jun-23","2",3172,0,59,9,0,41,35
"8798",614,934,"Robina Hospital","Jun-23","3",7982,-9,77,15,3,37,28
"8799",615,934,"Robina Hospital","Jun-23","4",3977,-13,85,17,6,17,31
"8800",616,934,"Robina Hospital","Jun-23","5",303,-18,92,16,13,11,53
"8801",617,934,"Robina Hospital","Jun-23","ALL",15507,-9,75,13,3,32,31
"8802",618,936,"Gold Coast University Hospital","Jun-23","1",542,23,100,1,NA,75,46
"8803",619,936,"Gold Coast University Hospital","Jun-23","2",7975,1,59,9,0,44,22
"8804",620,936,"Gold Coast University Hospital","Jun-23","3",15108,-3,71,14,3,34,19
"8805",621,936,"Gold Coast University Hospital","Jun-23","4",7180,-5,81,15,5,12,24
"8806",622,936,"Gold Coast University Hospital","Jun-23","5",504,18,92,19,12,6,55
"8807",623,936,"Gold Coast University Hospital","Jun-23","ALL",31309,-2,71,12,3,32,22
"8808",624,99999,"Queensland","Jun-23","1",4830,12,100,0,0,74,44
"8809",625,99999,"Queensland","Jun-23","2",98317,6,66,8,0,52,40
"8810",626,99999,"Queensland","Jun-23","3",245278,2,64,20,2,35,34
"8811",627,99999,"Queensland","Jun-23","4",187998,0,77,24,5,12,39
"8812",628,99999,"Queensland","Jun-23","5",48008,-5,93,18,7,4,64
"8813",629,99999,"Queensland","Jun-23","ALL",584431,2,71,17,3,28,37
"8814",0,1,"Mater Hospital Brisbane Public","Sep-21","2",2030,-53.37620579,9,55.95,52.07,53.26,58.92
"8815",1,1,"Mater Hospital Brisbane Public","Sep-21","3",5747,-4.312354312,45,40.36,43.43,40.83,52.88
"8816",2,1,"Mater Hospital Brisbane Public","Sep-21","4",3782,-1.459093278,49,56.9,18.93,49.02,72.16
"8817",3,1,"Mater Hospital Brisbane Public","Sep-21","5",649,-3.99408284,46,83.88,8.63,58.93,85.67
"8818",4,1,"Mater Hospital Brisbane Public","Sep-21","ALL",12269,-17.73501408,37,50.43,35.69,45.63,61.59
"8819",5,4,"The Prince Charles Hospital","Sep-21","1",130,73.33333333,0,100,80.77,52.38,53.08
"8820",6,4,"The Prince Charles Hospital","Sep-21","2",4097,8.702573627,8,70.05,61.07,46.44,53.97
"8821",7,4,"The Prince Charles Hospital","Sep-21","3",11928,8.673469388,34,47.13,40.06,36.04,53.23
"8822",8,4,"The Prince Charles Hospital","Sep-21","4",9629,14.03363335,36,67.75,12.32,50.34,81.74
"8823",9,4,"The Prince Charles Hospital","Sep-21","5",13300,-5.324601367,24,92.71,3.67,91.39,98.22
"8824",10,4,"The Prince Charles Hospital","Sep-21","ALL",39084,4.749142367,26,70.5,23.18,43.96,75.64
"8825",11,11,"Princess Alexandra Hospital","Sep-21","1",679,-10.54018445,1,100,92.19,53.99,54.2
"8826",12,11,"Princess Alexandra Hospital","Sep-21","2",4328,8.798391151,9,58.29,72.83,35.98,39.67
"8827",13,11,"Princess Alexandra Hospital","Sep-21","3",7667,0.868306802,16.5,71.44,60.51,42.21,48.58
"8828",14,11,"Princess Alexandra Hospital","Sep-21","4",3539,8.458473797,17,92.08,38.46,54.08,68.35
"8829",15,11,"Princess Alexandra Hospital","Sep-21","5",1582,5.396402398,7,99.01,14.16,76.34,90.52
"8830",16,11,"Princess Alexandra Hospital","Sep-21","ALL",17795,4.052157642,13,75.83,56.21,43.36,54.29
"8831",17,15,"Ipswich Hospital","Sep-21","1",168,-16.83168317,0,100,71.43,30.83,36.31
"8832",18,15,"Ipswich Hospital","Sep-21","2",4673,25.78734859,11,46.69,65.91,42.6,46.16
"8833",19,15,"Ipswich Hospital","Sep-21","3",9541,14.35934316,27,54.36,40.82,30.89,46.74
"8834",20,15,"Ipswich Hospital","Sep-21","4",3604,5.813270699,31,70.15,19.62,37.2,65.18
"8835",21,15,"Ipswich Hospital","Sep-21","5",455,0.220264317,28,92.11,7.69,51.43,83.96
"8836",22,15,"Ipswich Hospital","Sep-21","ALL",18441,14.39826303,21,56.68,42.5,36.15,51.02
"8837",23,16,"Redcliffe Hospital","Sep-21","1",76,-17.39130435,0,100,88.16,52.24,55.26
"8838",24,16,"Redcliffe Hospital","Sep-21","2",2241,3.606102635,6,75.1,67.43,61.81,63.59
"8839",25,16,"Redcliffe Hospital","Sep-21","3",8013,13.30599548,32,48.22,43.04,41.08,52.08
"8840",26,16,"Redcliffe Hospital","Sep-21","4",5680,-3.170814865,45,60.58,20.55,45.84,69.33
"8841",27,16,"Redcliffe Hospital","Sep-21","5",6508,-17.2220809,15,97.94,0.92,51.67,97.91
"8842",28,16,"Redcliffe Hospital","Sep-21","ALL",22518,-2.329212752,23,68.79,27.77,47.2,70.83
"8843",29,22,"Queen Elizabeth II Jubilee Hospital","Sep-21","1",190,-3.553299492,1,100,78.95,36.67,40
"8844",30,22,"Queen Elizabeth II Jubilee Hospital","Sep-21","2",2940,10.44327573,7,74.2,71.53,52.69,53.67
"8845",31,22,"Queen Elizabeth II Jubilee Hospital","Sep-21","3",7780,4.626143088,19,63.84,45.73,40.39,45.27
"8846",32,22,"Queen Elizabeth II Jubilee Hospital","Sep-21","4",3958,2.406209573,29,74.07,16.7,44.78,62.78
"8847",33,22,"Queen Elizabeth II Jubilee Hospital","Sep-21","5",234,7.339449541,31,88.04,3.42,75,77.35
"8848",34,22,"Queen Elizabeth II Jubilee Hospital","Sep-21","ALL",15102,5.035470858,15,69.35,42.91,44.78,51.93
"8849",35,28,"Redland Hospital","Sep-21","1",156,13.86861314,0,100,66.67,18.27,26.28
"8850",36,28,"Redland Hospital","Sep-21","2",2632,8.670520231,8,66.65,62.54,58.2,57.64
"8851",37,28,"Redland Hospital","Sep-21","3",7575,6.675116181,18,63.1,36.07,53.84,59.97
