"","age","cups","where_drink","purchase_other","favourite","favorite_specify","additions","additions_other","sweetener","style","strength","roast_level","caffeine","expertise","coffee_a_bitterness","coffee_a_acidity","coffee_a_personal_preference","coffee_b_bitterness","coffee_b_acidity","coffee_b_personal_preference","coffee_c_bitterness","coffee_c_acidity","coffee_c_personal_preference","coffee_d_bitterness","coffee_d_acidity","coffee_d_personal_preference","prefer_abc","prefer_ad","prefer_overall","wfh","total_spend","know_source","most_paid","most_willing","value_cafe","spent_equipment","value_equipment","gender","education_level","employment_status","number_children","political_affiliation"
"3296","25-34 years old","1","At home",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Sweet","Somewhat strong","Light","Full caffeine",8,2,3,4,4,1,3,5,2,3,2,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$6-$8","$8-$10","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","Republican"
"3297","45-54 years old","Less than 1","At home, At a cafe",NA,"Cappuccino",NA,"No - just black",NA,NA,"Sweet","Medium","Medium","Half caff",1,3,3,3,4,2,4,3,1,3,1,5,1,"Coffee B","Coffee A","Coffee B","I primarily work from home","<$20","Yes","$8-$10","$8-$10","Yes","Less than $20","Yes","Female","Bachelor's degree","Employed full-time","None","No affiliation"
"3298","25-34 years old","2","At the office, At home, At a cafe",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer, No - just black, Flavor syrup",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",6,1,3,4,1,2,3,2,2,5,1,5,2,"Coffee C","Coffee A","Coffee C","I do a mix of both","$20-$40","No","$6-$8","$4-$6","Yes","$300-$500","Yes","Male","Some college or associate's degree","Employed full-time","None","Republican"
"3299","25-34 years old","Less than 1","At a cafe",NA,"Mocha",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Sweet","Medium","Medium","Decaf",1,3,2,3,2,3,4,2,4,2,1,2,2,"Coffee B","Coffee A","Coffee B","I primarily work in person","<$20","Yes","$6-$8","$6-$8","Yes","$50-$100","No","Female","Bachelor's degree","Employed full-time","None","Independent"
"3300","25-34 years old","1","At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Juicy","Somewhat strong","Light","Full caffeine",6,2,4,3,3,3,3,4,2,2,1,5,5,"Coffee B","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$8-$10","$15-$20","No","More than $1,000","Yes","Female","Doctorate or professional degree","Employed full-time","None","Independent"
"3301","35-44 years old","Less than 1","At a cafe",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Raw Sugar (Turbinado)","Juicy","Somewhat strong","Light","Full caffeine",2,3,3,4,4,2,2,3,2,3,2,3,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","<$20","Yes","$4-$6","$6-$8","Yes","Less than $20","Yes","Male","Master's degree","Employed full-time","1","Democrat"
"3302","25-34 years old","1","At home",NA,"Mocha",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Full Bodied","Medium","Light","Full caffeine",6,2,5,3,4,1,5,4,2,4,3,4,2,"Coffee B","Coffee A","Coffee B","I primarily work in person","$40-$60","Yes","$6-$8","$2-$4","Yes","$100-$300","Yes","Male","Some college or associate's degree","Employed full-time","None","Democrat"
"3303","45-54 years old","1","At home, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Sweet","Somewhat light","Light","Half caff",1,5,2,2,3,3,4,3,4,2,5,2,1,"Coffee B","Coffee A","Coffee B","I do a mix of both",NA,"Yes",NA,NA,"Yes",NA,NA,"Female","Master's degree","Employed part-time","None",NA
"3304","25-34 years old","1","At the office, At a cafe, On the go",NA,"Other","Machiatto (1:1 espresso& milk) typically drink warm to room temp","Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Medium","Medium","Half caff",6,2,3,5,4,3,3,3,4,3,2,3,4,"Coffee A","Coffee A","Coffee A","I primarily work in person","$20-$40","Yes","$6-$8","$8-$10","No","$20-$50","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"3305","25-34 years old","3","At the office, At a cafe, On the go",NA,"Mocha",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty",NA,"Dark","Half caff",7,1,2,4,2,4,2,1,4,1,2,3,3,"Coffee A","Coffee A","Coffee A","I do a mix of both","$40-$60","No","$8-$10","$4-$6","Yes","$20-$50","Yes","Female","Bachelor's degree","Employed part-time","None","No affiliation"
"3306","25-34 years old","2","At home, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",6,2,4,4,4,1,2,4,1,2,1,2,4,"Coffee A","Coffee A","Coffee A","I primarily work from home","$20-$40","Yes","$8-$10","$4-$6","No","$100-$300","Yes","Male","Doctorate or professional degree","Employed full-time","None","No affiliation"
"3307","25-34 years old","2","At home, At a cafe",NA,"Latte",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Somewhat strong","Medium","Full caffeine",7,2,3,4,3,2,2,3,3,3,2,2,5,"Coffee A","Coffee D","Coffee D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3308","25-34 years old","3","At home",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",6,2,4,4,2,4,4,3,4,5,5,5,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$20-$40","Yes","$6-$8","$6-$8","Yes","$50-$100","Yes","Female","Bachelor's degree","Employed full-time","None","Democrat"
"3309","35-44 years old","2","At home, At the office, At a cafe",NA,"Pourover",NA,"No - just black",NA,NA,"Floral","Somewhat strong","Light","Full caffeine",6,2,4,4,4,1,2,3,2,3,2,4,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","$60-$80","Yes","$8-$10","$10-$15","No","$300-$500","Yes","Male","Master's degree","Employed full-time","2","Democrat"
"3310","25-34 years old","1","At the office, At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Bright","Somewhat strong","Medium","Full caffeine",4,1,5,3,3,2,5,3,1,3,2,4,2,"Coffee B","Coffee A","Coffee B","I do a mix of both","$40-$60","No","$8-$10","$8-$10","Yes","More than $1,000","Yes","Female","Bachelor's degree","Employed full-time","None","Democrat"
"3311","55-64 years old","3","At home, At the office",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Bright","Somewhat strong","Light","Full caffeine",8,2,3,4,3,2,3,1,1,1,3,1,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$60-$80","Yes","More than $20","$8-$10","Yes","$300-$500","Yes","Male","Master's degree","Employed full-time","2","Independent"
"3312","35-44 years old","1","At home",NA,"Regular drip coffee",NA,"Sugar or sweetener",NA,"Granulated Sugar","Chocolatey","Somewhat strong","Medium","Full caffeine",7,2,3,4,3,2,5,4,3,5,2,4,3,"Coffee C","Coffee A","Coffee C","I primarily work in person","$20-$40","Yes","$6-$8","$8-$10","No","$100-$300","Yes","Male","Doctorate or professional degree","Employed full-time","2","Democrat"
"3313","18-24 years old","1","At home",NA,"Americano",NA,"No - just black",NA,NA,"Sweet","Somewhat strong","Light","Full caffeine",7,1,4,5,3,3,3,4,3,3,2,4,4,"Coffee A","Coffee A","Coffee A","I primarily work in person","$20-$40","Yes","$8-$10","$10-$15","No","$500-$1000","Yes","Male","Some college or associate's degree","Student","None","Republican"
"3314","35-44 years old","2","At the office, At home",NA,"Americano",NA,"No - just black",NA,NA,"Fruity","Very strong","Light","Full caffeine",8,2,4,4,3,2,2,4,1,1,3,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$60-$80","Yes","$10-$15","$10-$15","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","2","Democrat"
"3315","35-44 years old","Less than 1","At the office, At home",NA,"Blended drink (e.g. Frappuccino)",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar, Stevia","Sweet","Medium","Light","Full caffeine",1,2,5,4,2,2,4,3,3,3,4,2,3,"Coffee A","Coffee A","Coffee A","I primarily work from home","<$20","No","$2-$4","$2-$4","No","Less than $20","Yes","Male","Master's degree","Homemaker","2","Democrat"
"3316","25-34 years old","1","On the go, At a cafe",NA,"Iced coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",7,1,4,5,3,2,4,3,1,2,4,5,3,"Coffee A","Coffee A","Coffee A","I primarily work in person","$60-$80","Yes","$8-$10","$8-$10","Yes","$100-$300","Yes","Female","Bachelor's degree","Employed full-time","None","Democrat"
"3317","45-54 years old","2","At home, At a cafe",NA,"Espresso",NA,"No - just black",NA,NA,"Bright","Somewhat strong","Light","Full caffeine",6,2,3,3,1,2,1,2,3,4,1,2,3,"Coffee C","Coffee D","Coffee D","I primarily work from home","$80-$100","No","$6-$8","$8-$10","Yes","$100-$300","Yes","Male","Some college or associate's degree","Employed full-time","More than 3","No affiliation"
"3318","35-44 years old","3","At home",NA,"Espresso",NA,"No - just black",NA,NA,"Juicy","Very strong","Medium","Full caffeine",10,1,3,4,3,2,2,1,4,4,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$80-$100","Yes","$10-$15","More than $20","Yes","More than $1,000","Yes","Male","Some college or associate's degree","Employed full-time","None","Democrat"
"3319","25-34 years old","2","At home, At the office",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup",NA,NA,"Full Bodied","Somewhat strong","Medium","Full caffeine",7,1,5,3,3,1,4,2,2,4,4,4,2,"Coffee B","Coffee A","Coffee B","I primarily work from home","$60-$80","Yes","$8-$10","$8-$10","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"3320","25-34 years old","2","At home, At a cafe",NA,"Pourover",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Bright","Medium","Light","Full caffeine",7,2,4,4,1,2,5,3,2,3,3,5,3,"Coffee B","Coffee A","Coffee B","I primarily work from home","$40-$60","Yes","$8-$10","$10-$15","Yes","$500-$1000","Yes","Male","Bachelor's degree","Unemployed","None","No affiliation"
"3321","35-44 years old","1","At home, On the go",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Artificial Sweeteners (e.g., Splenda)","Chocolatey","Very strong","Dark","Full caffeine",8,3,5,1,4,3,2,2,2,5,4,5,1,"Coffee C","Coffee D","Coffee C","I primarily work from home","$40-$60","Yes","$6-$8","$6-$8","Yes","$300-$500","Yes","Female","Some college or associate's degree","Homemaker","2","Democrat"
"3322",">65 years old","2","At home, At a cafe",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",NA,"Artificial Sweeteners (e.g., Splenda)","Chocolatey","Somewhat strong","Light","Full caffeine",8,3,4,3,3,4,3,2,3,4,2,2,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$40-$60","Yes","$6-$8","$4-$6","Yes","$100-$300","Yes","Male","Bachelor's degree","Retired","1","Democrat"
"3323","35-44 years old","3","At home, On the go, At the office",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",NA,"Granulated Sugar, Honey, Maple Syrup","Nutty","Medium","Medium","Full caffeine",8,2,3,3,3,2,4,2,2,5,2,4,2,"Coffee C","Coffee A","Coffee C","I do a mix of both","$60-$80","Yes","$10-$15","$4-$6","No","$500-$1000","Yes","Female",NA,"Employed full-time","None",NA
"3324","35-44 years old","2","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar","Chocolatey","Medium","Medium","Full caffeine",6,1,4,3,3,3,4,4,3,1,2,5,1,"Coffee B","Coffee A","Coffee C","I primarily work from home","$20-$40","Yes","$6-$8","$10-$15","No","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"3325","35-44 years old",NA,"At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, No - just black",NA,NA,"Chocolatey","Medium","Medium",NA,6,1,NA,3,1,1,4,2,1,2,2,2,2,"Coffee B","Coffee A","Coffee B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3326","35-44 years old","2","At home, At a cafe",NA,"Espresso",NA,"No - just black",NA,NA,"Bright","Very strong","Light","Full caffeine",7,2,5,5,3,2,4,4,2,3,3,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$60-$80","Yes","$10-$15","More than $20","Yes","More than $1,000","Yes","Male","Master's degree","Employed full-time","None","No affiliation"
"3327","25-34 years old","2","At home, At a cafe",NA,"Cortado",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",5,2,3,4,3,2,3,2,2,3,2,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$10-$15","More than $20","No","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"3328","18-24 years old","1","At home, At a cafe",NA,"Espresso",NA,"No - just black",NA,NA,"Fruity","Somewhat light","Light","Half caff",6,2,4,5,4,2,3,4,3,4,1,3,4,"Coffee A","Coffee A","Coffee A","I do a mix of both","$20-$40","Yes","$6-$8","$6-$8","Yes","$300-$500","Yes","Male","Some college or associate's degree","Student","None","Democrat"
"3329","25-34 years old","2","At the office",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","Medium","Full caffeine",1,3,4,1,2,2,5,4,2,2,2,5,1,"Coffee B","Coffee A","Coffee B","I primarily work in person","$60-$80","Yes","$6-$8","$2-$4","Yes","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"3330","25-34 years old","1","At the office, At home",NA,"Pourover",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Floral","Somewhat strong","Light","Full caffeine",7,1,3,4,3,2,3,2,1,3,2,2,4,"Coffee A","Coffee A","Coffee A","I do a mix of both","$40-$60","Yes","More than $20","$2-$4","No","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"3331","35-44 years old","2","On the go",NA,"Pourover",NA,"No - just black",NA,NA,"Full Bodied","Medium","Medium","Full caffeine",4,2,4,2,1,2,4,3,3,3,3,3,1,"Coffee B","Coffee A","Coffee B","I do a mix of both","$40-$60","Yes","$4-$6","$8-$10","No","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"3332","35-44 years old","Less than 1","At the office",NA,"Blended drink (e.g. Frappuccino)",NA,"No - just black",NA,NA,"Sweet","Medium","Light","Full caffeine",1,3,5,3,3,3,4,3,2,5,2,4,3,"Coffee C","Coffee A","Coffee C","I primarily work in person","<$20","No","$4-$6","$2-$4","Yes","Less than $20","Yes","Female","Bachelor's degree","Employed full-time","2","Independent"
"3333","25-34 years old","2","At the office, At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",6,3,4,4,4,3,3,4,2,4,3,4,5,"Coffee C","Coffee A","Coffee A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3334","35-44 years old","3","At a cafe, At home, On the go, At the office",NA,"Regular drip coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Caramalized","Somewhat strong","Light","Full caffeine",6,2,4,4,2,2,2,4,2,2,2,4,5,"Coffee A","Coffee D","Coffee B","I primarily work from home","$80-$100","Yes","$8-$10","$4-$6","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","None","Independent"
"3335","25-34 years old","Less than 1","At a cafe",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Somewhat strong","Medium","Half caff",3,2,2,4,4,2,1,3,3,3,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","<$20","Yes","$6-$8","$6-$8","No","Less than $20","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"3336","18-24 years old","1","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",NA,"Raw Sugar (Turbinado)","Caramalized","Very strong","Dark","Decaf",8,2,4,1,3,1,5,3,2,4,1,4,2,"Coffee B","Coffee D","Coffee B","I primarily work from home","<$20","Yes","$8-$10","$10-$15","No","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"3337","35-44 years old","Less than 1","At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Sweet","Somewhat light","Light","Decaf",2,3,2,3,3,2,3,2,3,4,1,4,5,"Coffee C","Coffee D","Coffee D","I primarily work from home","<$20","No","$2-$4","$6-$8","Yes","Less than $20","Yes","Female","Master's degree","Employed full-time","1","Republican"
"3338","35-44 years old","2","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Sweet","Somewhat strong","Medium","Full caffeine",6,1,3,3,4,2,5,2,1,4,1,4,1,"Coffee B","Coffee D","Coffee B","I do a mix of both","$20-$40","No","$4-$6","$4-$6","No","$500-$1000","Yes","Male","Bachelor's degree","Student","2","No affiliation"
"3339","18-24 years old","1","On the go, At home, At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Sweet","Medium","Medium","Full caffeine",4,2,5,4,2,5,3,2,2,4,1,3,5,"Coffee C","Coffee D","Coffee D","I primarily work in person","$60-$80","Yes","$8-$10","$10-$15","No","More than $1,000","Yes","Male","Some college or associate's degree","Employed full-time","None","Independent"
"3340","25-34 years old","3","At the office, At home",NA,"Cortado",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Medium","Full caffeine",8,2,4,4,4,2,2,3,3,5,2,5,3,"Coffee C","Coffee A","Coffee C","I primarily work in person","$40-$60","Yes","$10-$15","$10-$15","No","More than $1,000","Yes","Male","Doctorate or professional degree","Student","None","Democrat"
"3341","25-34 years old","2","At home, At a cafe",NA,"Pourover",NA,"No - just black",NA,NA,"Sweet","Somewhat strong","Nordic","Full caffeine",5,1,5,1,3,4,2,2,2,2,1,3,5,"Coffee C","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$10-$15","More than $20","No","$100-$300","Yes","Female","Master's degree","Employed full-time","None","No affiliation"
"3342","45-54 years old","1","At home",NA,"Regular drip coffee",NA,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer",NA,"Granulated Sugar","Nutty","Weak","Light","Full caffeine",3,2,5,2,4,1,5,3,2,3,2,4,1,"Coffee B","Coffee A","Coffee B","I primarily work in person","$20-$40","No","$8-$10","$8-$10","No","$20-$50","Yes","Female","Bachelor's degree","Employed full-time","2","Republican"
"3343","35-44 years old","4","At home, At a cafe",NA,"Espresso",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",9,2,4,5,4,1,1,3,3,2,3,4,5,"Coffee A","Coffee D","Coffee A","I primarily work from home","$40-$60","Yes","$10-$15","More than $20","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"3344","25-34 years old","2","On the go, At home, At a cafe",NA,"Espresso",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Dark","Half caff",6,2,4,4,5,2,2,4,2,3,2,2,5,"Coffee A","Coffee D","Coffee B","I primarily work from home",">$100","No","$15-$20","$6-$8","No","$50-$100","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"3345","55-64 years old","4","At home",NA,"Mocha",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Raw Sugar (Turbinado)","Full Bodied","Medium","Medium","Full caffeine",6,4,3,3,4,3,2,4,2,5,3,5,1,"Coffee C","Coffee A","Coffee C","I primarily work from home",NA,"Yes","$8-$10","$8-$10","No","$300-$500","Yes","Male","Some college or associate's degree","Employed full-time","2","Democrat"
"3346",">65 years old","2","At home",NA,"Pourover",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","Medium","Full caffeine",5,2,2,2,2,1,3,3,2,2,3,3,1,"Coffee B","Coffee A","Coffee B",NA,NA,"No",NA,NA,NA,NA,NA,"Female","Doctorate or professional degree",NA,NA,NA
"3347","25-34 years old","3","At home",NA,"Cortado",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Sweet","Somewhat strong","Light","Full caffeine",8,2,2,3,4,2,2,3,3,4,2,4,5,"Coffee C","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$10-$15","Less than $2","No","More than $1,000","Yes","Male","Master's degree","Employed full-time","None","No affiliation"
"3348","25-34 years old","1","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Medium","Medium","Full caffeine",6,3,3,3,4,1,1,4,2,2,2,4,4,"Coffee A","Coffee D","Coffee D","I primarily work in person","$80-$100","Yes","$10-$15","More than $20","Yes","$50-$100","Yes","Male","Doctorate or professional degree","Employed full-time","None","Democrat"
"3349","55-64 years old","Less than 1","At home",NA,"Regular drip coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Full Bodied","Medium","Medium","Full caffeine",4,4,4,2,3,3,4,4,2,1,3,5,1,"Coffee B","Coffee D","Coffee A","I primarily work in person",NA,"Yes",NA,NA,NA,"Less than $20",NA,"Female",NA,NA,NA,NA
"3350","35-44 years old","1","At home, At a cafe",NA,"Cappuccino",NA,"No - just black",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",6,1,3,4,2,2,5,4,4,2,3,1,2,"Coffee B","Coffee A","Coffee B","I primarily work from home","$60-$80","Yes","$8-$10","$15-$20","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","2","Democrat"
"3351","55-64 years old","4","At the office, At home",NA,"Americano",NA,"Sugar or sweetener",NA,"Granulated Sugar","Fruity","Somewhat strong","Medium","Full caffeine",5,3,4,1,1,2,2,2,3,4,3,4,3,"Coffee C","Coffee D","Coffee C","I primarily work in person","$80-$100","Yes","$4-$6","$4-$6","Yes","More than $1,000","Yes","Male",NA,NA,NA,NA
"3352","18-24 years old","4","At the office, At home",NA,"Pourover",NA,"No - just black",NA,NA,"Juicy","Medium","Light","Full caffeine",7,3,4,3,2,2,4,3,2,2,4,5,5,"Coffee B","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$4-$6","$4-$6","No","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","Independent"
"3353","25-34 years old","1","At the office, At a cafe, On the go, At home",NA,"Americano",NA,"No - just black",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",7,3,4,3,2,3,1,1,2,4,4,5,2,"Coffee C","Coffee A","Coffee C","I primarily work from home","$40-$60","Yes","$6-$8","$6-$8","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"3354","25-34 years old","Less than 1","At home",NA,"Other","Raf","Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","Light","Full caffeine",6,2,2,4,3,1,5,3,2,4,2,3,3,"Coffee B","Coffee A","Coffee B","I primarily work from home","$20-$40","No","$8-$10","$4-$6","Yes","Less than $20","Yes","Female","Master's degree","Employed full-time","None","No affiliation"
"3355","25-34 years old","2","At home, On the go",NA,"Latte",NA,"Flavor syrup, Milk, dairy alternative, or coffee creamer",NA,NA,"Full Bodied","Somewhat strong","Italian","Full caffeine",7,2,3,4,3,2,3,4,4,2,2,1,3,"Coffee B","Coffee A","Coffee B","I primarily work from home","$80-$100","Yes","$8-$10","$6-$8","Yes","More than $1,000","Yes","Female","Some college or associate's degree","Homemaker","3","Republican"
"3356","45-54 years old","3","At home, At the office",NA,"Espresso",NA,"No - just black",NA,NA,"Fruity","Very strong","Medium","Full caffeine",8,3,4,4,4,2,2,4,3,3,2,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$40-$60","Yes","$8-$10","$4-$6","No","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"3357","18-24 years old","2","At home, At a cafe",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",6,2,4,4,3,3,4,4,2,3,1,5,5,"Coffee B","Coffee D","Coffee D",NA,"$20-$40","Yes","$8-$10","$15-$20",NA,"$100-$300","Yes","Male","Bachelor's degree","Unemployed","None","Democrat"
"3358","45-54 years old",NA,"At home",NA,"Other","Aeropress","No - just black",NA,NA,"Floral","Somewhat strong","Light","Full caffeine",7,2,4,NA,3,3,3,4,1,2,1,NA,5,"Coffee A","Coffee D","Coffee D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3359","25-34 years old","2","At home, At the office",NA,"Cappuccino",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Bright","Somewhat strong","Light","Decaf",6,3,4,3,4,3,4,5,2,3,2,5,5,"Coffee B","Coffee D","Coffee D","I do a mix of both","$20-$40","Yes","$8-$10","$8-$10","No","$300-$500","Yes","Female","Master's degree","Employed full-time","None","No affiliation"
"3360","25-34 years old","1","On the go",NA,"Espresso",NA,"No - just black",NA,NA,"Fruity","Somewhat light","Light","Full caffeine",8,1,2,3,3,3,2,3,3,4,2,4,3,"Coffee C","Coffee D","Coffee C","I primarily work in person","$40-$60","Yes","More than $20","More than $20","Yes","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","1","Democrat"
"3361","25-34 years old","Less than 1","At home",NA,"Blended drink (e.g. Frappuccino)",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",NA,"Granulated Sugar","Sweet","Weak","Dark","Decaf",1,4,3,2,2,3,3,1,3,4,3,4,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","<$20","No","Less than $2","$4-$6","No","$300-$500","Yes","Female","Some college or associate's degree","Homemaker","2","Republican"
"3362","25-34 years old","Less than 1","At a cafe",NA,"Mocha",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Somewhat light","Medium","Full caffeine",2,2,2,3,3,3,2,3,4,2,2,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","<$20","No","$6-$8","$6-$8","Yes","Less than $20","Yes","Female","Master's degree","Employed full-time","None","Democrat"
"3363","25-34 years old","3","At the office, At home, On the go",NA,"Pourover",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",7,3,3,3,3,3,3,NA,3,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3364","25-34 years old","2","At home, At the office, On the go, At a cafe",NA,"Americano",NA,"No - just black",NA,NA,"Juicy","Somewhat strong","Light","Full caffeine",7,3,4,3,4,1,1,4,3,3,1,4,4,"Coffee C","Coffee D","Coffee D","I primarily work in person","$40-$60","Yes","$8-$10","$10-$15","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"3365","18-24 years old","2","At home",NA,"Cortado",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",7,1,3,3,4,2,3,3,3,2,2,4,5,"Coffee B","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$4-$6","$6-$8","Yes","$300-$500","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"3366","35-44 years old","3","At a cafe, At home",NA,"Espresso",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Floral","Medium","Light","Full caffeine",6,1,3,2,4,4,3,5,1,4,3,4,4,"Coffee C","Coffee D","Coffee C","I primarily work from home",">$100","Yes","More than $20","More than $20","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","None","Independent"
